1,0.9833,0.2288,0.0914,0.0027
2,0.9833,0.1686,0.0454,0.0455
4,0.9833,0.1478,0.0188,0.0728
6,0.9833,0.1794,0.0129,0.1171
8,0.9833,0.1825,0.0107,0.1383
10,0.9833,0.2579,0.0092,0.1939
12,0.9833,0.2830,0.0082,0.2023
